0.537012  0.1905
0.634668  0.1906
0.732324  0.1909
0.82998  0.19306
0.927637  0.1882
1.02529  0.18651
1.12295  0.18212
1.22061  0.18639
1.31826  0.17873
1.41592  0.18768
1.51357  0.18165
1.61123  0.17715
1.70889  0.16898
1.80654  0.16851
1.9042  0.162757
2.00186  0.17018
2.09951  0.16675
2.19717  0.16793
2.29482  0.16737
2.39248  0.16239
2.49014  0.15511
2.58779  0.16257
2.68545  0.15681
2.78311  0.15570
2.88076  0.15609
2.97842  0.15439
3.07607  0.15351
3.17373  0.15539
3.27139  0.15063
3.36904  0.15292
3.4667  0.146667
3.56436  0.15357
3.66201  0.15563
3.75967  0.15632
3.85732  0.13970
3.95498  0.13761
4.05264  0.14348
4.15029  0.13610
4.24795  0.13127
4.34561  0.12312
4.44326  0.15108
4.54092  0.13497
4.63857  0.16014
4.73623  0.12517
4.83389  0.12387
4.93154  0.14462
5.0292  0.136009
5.12686  0.13752
5.22451  0.13662
5.32217  0.13539
5.41982  0.12813
5.51748  0.12004
5.61514  0.13045
5.71279  0.13283
5.81045  0.12455
5.90811  0.12559
6.00576  0.11352
6.10342  0.12827
6.20107  0.11520
6.29873  0.11610
6.39639  0.17309
6.49404  0.11722
6.5917  0.126545
6.68936  0.10668
6.78701  0.12801
6.88467  0.10188
6.98232  0.15221
7.07998  0.13229
7.17764  0.10803
7.27529  0.13569
7.37295  0.12560
7.47061  0.10992
7.56826  0.12270
7.66592  0.12003
7.76357  0.08945
7.86123  0.13432
7.95889  0.11104
8.05654  0.14845
8.1542  0.127487
8.25186  0.07312
8.34951  0.11232
8.44717  0.08124
8.54482  0.16394
8.64248  0.12071
8.74014  0.11622
8.83779  0.09917
8.93545  0.10366
9.03311  0.13944
9.13076  0.05757
9.22842  0.09069
9.32607  0.12572
9.42373  0.13548
9.52139  0.02609
9.61904  0.11003
9.7167  0.134638
9.81436  0.21318
9.91201  0.15185
