0.537012 0.198929 0.00328779
0.634668 0.202583 0.00336386
0.732324 0.201812 0.00344163
0.82998 0.198061 0.00351556
0.927637 0.197104 0.0036096
1.02529 0.188453 0.00370976
1.12295 0.188727 0.00378834
1.22061 0.19629 0.00386049
1.31826 0.196699 0.00395654
1.41592 0.187169 0.00406423
1.51357 0.187637 0.00415545
1.61123 0.189723 0.00424405
1.70889 0.18494 0.00437642
1.80654 0.175024 0.00448434
1.9042 0.185117 0.00455889
2.00186 0.172475 0.00469486
2.09951 0.17628 0.00478935
2.19717 0.174091 0.00489454
2.29482 0.174824 0.00503134
2.39248 0.184112 0.00512299
2.49014 0.17027 0.00526498
2.58779 0.169688 0.00536637
2.68545 0.163865 0.0055412
2.78311 0.165174 0.0056544
2.88076 0.166604 0.00578754
2.97842 0.167113 0.00595873
3.07607 0.158362 0.00607733
3.17373 0.159695 0.00622404
3.27139 0.160568 0.0063788
3.36904 0.152364 0.00656099
3.4667 0.15789 0.00669132
3.56436 0.151186 0.00688143
3.66201 0.147604 0.00702932
3.75967 0.159999 0.00716981
3.85732 0.152422 0.00738201
3.95498 0.153161 0.00762949
4.05264 0.160638 0.00774263
4.15029 0.138573 0.00799713
4.24795 0.149702 0.00816192
4.34561 0.169897 0.00838538
4.44326 0.15021 0.00854664
4.54092 0.137512 0.00874463
4.63857 0.144771 0.00905374
4.73623 0.131631 0.00927128
4.83389 0.15258 0.00963203
4.93154 0.150879 0.00980259
5.0292 0.136657 0.0100115
5.12686 0.157199 0.0102884
5.22451 0.144843 0.0106379
5.32217 0.131027 0.0108506
5.41982 0.127476 0.0111911
5.51748 0.138112 0.011559
5.61514 0.152689 0.0117222
5.71279 0.140468 0.0120209
5.81045 0.14172 0.0124908
5.90811 0.128365 0.0128058
6.00576 0.127334 0.0131183
6.10342 0.128679 0.0134941
6.20107 0.120427 0.0138012
6.29873 0.115035 0.0143885
6.39639 0.142245 0.0147562
6.49404 0.130064 0.0149499
6.5917 0.123825 0.0156136
6.68936 0.125193 0.0161728
6.78701 0.134515 0.0164058
6.88467 0.157547 0.0173688
6.98232 0.117829 0.0176164
7.07998 0.126661 0.0181558
7.17764 0.113319 0.0185698
7.27529 0.134747 0.0193356
7.37295 0.116923 0.0200494
7.47061 0.146931 0.0206111
7.56826 0.0985812 0.0211346
7.66592 0.133132 0.0220636
7.76357 0.147482 0.0225272
7.86123 0.120468 0.0228966
7.95889 0.0797166 0.0241923
8.05654 0.0889288 0.0244312
8.1542 0.115522 0.0254368
8.25186 0.0975069 0.0272615
8.34951 0.112505 0.0277024
8.44717 0.0808107 0.0269239
8.54482 0.125495 0.0289029
8.64248 0.128545 0.0308595
8.74014 0.0894728 0.031958
8.83779 0.111948 0.0323179
8.93545 0.179777 0.034279
9.03311 0.0407086 0.0360972
9.13076 0.0954755 0.0365547
9.22842 0.0730064 0.0358868
9.32607 0.151977 0.0386747
9.42373 0.143783 0.0424994
9.52139 0.0405107 0.0445952
9.61904 0.100292 0.04143
9.7167 0.106829 0.0443316
9.81436 0.00337079 0.049859
9.91201 0.155692 0.0495581
